date,BTC Price,Regime Label,regime_0,regime_1,Mean Rolling Label
2020-01-01,7200,0,0.85,0.15,0
2020-02-01,8500,0,0.8,0.2,0
2020-03-01,6400,0,0.9,0.1,0
2020-04-01,7800,0,0.85,0.15,0
2020-05-01,9200,0,0.8,0.2,0
2020-06-01,9500,0,0.8,0.2,0
2020-07-01,11000,0,0.75,0.25,0
2020-08-01,11800,0,0.7,0.3,0
2020-09-01,10800,0,0.75,0.25,0
2020-10-01,13500,1,0.3,0.7,1
2020-11-01,19700,1,0.15,0.85,1
2020-12-01,28900,1,0.1,0.9,1
2021-01-01,33100,1,0.15,0.85,1
2021-02-01,45200,1,0.1,0.9,1
2021-03-01,58900,1,0.05,0.95,1
2021-04-01,63500,1,0.1,0.9,1
2021-05-01,37300,0,0.6,0.4,0
2021-06-01,35900,0,0.7,0.3,0
2021-07-01,41500,1,0.3,0.7,1
2021-08-01,47100,1,0.2,0.8,1
2021-09-01,43800,1,0.3,0.7,1
2021-10-01,61300,1,0.1,0.9,1
2021-11-01,57200,1,0.15,0.85,1
2021-12-01,46200,1,0.3,0.7,1
2022-01-01,38500,0,0.6,0.4,0
2022-02-01,43900,1,0.3,0.7,1
2022-03-01,45500,1,0.25,0.75,1
2022-04-01,37800,0,0.6,0.4,0
2022-05-01,31800,0,0.7,0.3,0
2022-06-01,20100,0,0.85,0.15,0
2022-07-01,23300,0,0.8,0.2,0
2022-08-01,20000,0,0.85,0.15,0
2022-09-01,19400,0,0.9,0.1,0
2022-10-01,20500,0,0.85,0.15,0
2022-11-01,17200,0,0.9,0.1,0
2022-12-01,16500,0,0.9,0.1,0
2023-01-01,23100,0,0.8,0.2,0
2023-02-01,23500,0,0.8,0.2,0
2023-03-01,28400,0,0.75,0.25,0
2023-04-01,29200,0,0.75,0.25,0
2023-05-01,27200,0,0.8,0.2,0
2023-06-01,30500,0,0.75,0.25,0
2023-07-01,29800,0,0.75,0.25,0
2023-08-01,26100,0,0.8,0.2,0
2023-09-01,27000,0,0.8,0.2,0
2023-10-01,34500,1,0.25,0.75,1
2023-11-01,37700,1,0.2,0.8,1
2023-12-01,42200,1,0.15,0.85,1
2024-01-01,43000,1,0.15,0.85,1
